Venue,Year,AcceptanceRatePercent
ICML,2024,26.0
NeurIPS,2024,25.8
AAAI,2024,23.5
IJCAI,2024,15.2
CVPR,2024,22.1
ECCV,2024,20.8
ICCV,2024,21.3
ICLR,2024,31.8
ACL,2024,19.2
EMNLP,2024,18.7
NAACL,2024,17.9
CoNLL,2024,16.3
TACL,2024,14.7
ICDM,2024,18.0
KDD,2024,16.5
WWW,2024,17.2
SIGIR,2024,15.8
ICSE,2024,19.8
FSE,2024,18.2
ASE,2024,17.5
SIGCOMM,2024,14.2
INFOCOM,2024,13.8
NSDI,2024,12.9
OSDI,2024,11.7
SOSP,2024,10.8
FAST,2024,13.2
ISCA,2024,12.5
MICRO,2024,11.9
ASPLOS,2024,10.3
PLDI,2024,15.7
POPL,2024,14.1
ICFP,2024,13.6
OOPSLA,2024,16.2
CHI,2024,22.4
UIST,2024,19.6
UbiComp,2024,18.3
MobiSys,2024,17.8
MobiCom,2024,16.4
SenSys,2024,15.1
ICML,2023,25.1
NeurIPS,2023,24.6
AAAI,2023,22.8
IJCAI,2023,14.7
CVPR,2023,21.4
ECCV,2023,19.9
ICCV,2023,20.6
ICLR,2023,30.2
ACL,2023,18.5
EMNLP,2023,17.9
